"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-04-25","1 day ahead inc death",2020-04-26,"Belgium","point",NA,183.579
"2020-04-25","2 day ahead inc death",2020-04-27,"Belgium","point",NA,163.953
"2020-04-25","3 day ahead inc death",2020-04-28,"Belgium","point",NA,144.748
"2020-04-25","4 day ahead inc death",2020-04-29,"Belgium","point",NA,126.345
"2020-04-25","5 day ahead inc death",2020-04-30,"Belgium","point",NA,108.956
"2020-04-25","6 day ahead inc death",2020-05-01,"Belgium","point",NA,92.848
"2020-04-25","7 day ahead inc death",2020-05-02,"Belgium","point",NA,78.136
"2020-04-25","8 day ahead inc death",2020-05-03,"Belgium","point",NA,64.961
"2020-04-25","9 day ahead inc death",2020-05-04,"Belgium","point",NA,53.314
"2020-04-25","10 day ahead inc death",2020-05-05,"Belgium","point",NA,43.229
"2020-04-25","11 day ahead inc death",2020-05-06,"Belgium","point",NA,34.582
"2020-04-25","12 day ahead inc death",2020-05-07,"Belgium","point",NA,27.328
"2020-04-25","13 day ahead inc death",2020-05-08,"Belgium","point",NA,21.294
"2020-04-25","14 day ahead inc death",2020-05-09,"Belgium","point",NA,16.388
"2020-04-25","15 day ahead inc death",2020-05-10,"Belgium","point",NA,12.442
"2020-04-25","16 day ahead inc death",2020-05-11,"Belgium","point",NA,9.33
"2020-04-25","17 day ahead inc death",2020-05-12,"Belgium","point",NA,6.898
"2020-04-25","18 day ahead inc death",2020-05-13,"Belgium","point",NA,5.016
"2020-04-25","19 day ahead inc death",2020-05-14,"Belgium","point",NA,3.614
"2020-04-25","20 day ahead inc death",2020-05-15,"Belgium","point",NA,2.574
"2020-04-25","21 day ahead inc death",2020-05-16,"Belgium","point",NA,1.798
"2020-04-25","22 day ahead inc death",2020-05-17,"Belgium","point",NA,1.218
"2020-04-25","23 day ahead inc death",2020-05-18,"Belgium","point",NA,0.785
"2020-04-25","24 day ahead inc death",2020-05-19,"Belgium","point",NA,0.487
"2020-04-25","25 day ahead inc death",2020-05-20,"Belgium","point",NA,0.271
"2020-04-25","26 day ahead inc death",2020-05-21,"Belgium","point",NA,0.126
"2020-04-25","27 day ahead inc death",2020-05-22,"Belgium","point",NA,0.05
"2020-04-25","28 day ahead inc death",2020-05-23,"Belgium","point",NA,0.015
"2020-04-25","1 day ahead inc death",2020-04-26,"Belgium","quantile",0.025,36.975
"2020-04-25","2 day ahead inc death",2020-04-27,"Belgium","quantile",0.025,31.975
"2020-04-25","3 day ahead inc death",2020-04-28,"Belgium","quantile",0.025,27
"2020-04-25","4 day ahead inc death",2020-04-29,"Belgium","quantile",0.025,22.975
"2020-04-25","5 day ahead inc death",2020-04-30,"Belgium","quantile",0.025,19
"2020-04-25","6 day ahead inc death",2020-05-01,"Belgium","quantile",0.025,15.975
"2020-04-25","7 day ahead inc death",2020-05-02,"Belgium","quantile",0.025,12.975
"2020-04-25","8 day ahead inc death",2020-05-03,"Belgium","quantile",0.025,10
"2020-04-25","9 day ahead inc death",2020-05-04,"Belgium","quantile",0.025,8
"2020-04-25","10 day ahead inc death",2020-05-05,"Belgium","quantile",0.025,6
"2020-04-25","11 day ahead inc death",2020-05-06,"Belgium","quantile",0.025,5
"2020-04-25","12 day ahead inc death",2020-05-07,"Belgium","quantile",0.025,4
"2020-04-25","13 day ahead inc death",2020-05-08,"Belgium","quantile",0.025,3
"2020-04-25","14 day ahead inc death",2020-05-09,"Belgium","quantile",0.025,2
"2020-04-25","15 day ahead inc death",2020-05-10,"Belgium","quantile",0.025,1
"2020-04-25","16 day ahead inc death",2020-05-11,"Belgium","quantile",0.025,1
"2020-04-25","17 day ahead inc death",2020-05-12,"Belgium","quantile",0.025,1
"2020-04-25","18 day ahead inc death",2020-05-13,"Belgium","quantile",0.025,0
"2020-04-25","19 day ahead inc death",2020-05-14,"Belgium","quantile",0.025,0
"2020-04-25","20 day ahead inc death",2020-05-15,"Belgium","quantile",0.025,0
"2020-04-25","21 day ahead inc death",2020-05-16,"Belgium","quantile",0.025,0
"2020-04-25","22 day ahead inc death",2020-05-17,"Belgium","quantile",0.025,0
"2020-04-25","23 day ahead inc death",2020-05-18,"Belgium","quantile",0.025,0
"2020-04-25","24 day ahead inc death",2020-05-19,"Belgium","quantile",0.025,0
"2020-04-25","25 day ahead inc death",2020-05-20,"Belgium","quantile",0.025,0
"2020-04-25","26 day ahead inc death",2020-05-21,"Belgium","quantile",0.025,0
"2020-04-25","27 day ahead inc death",2020-05-22,"Belgium","quantile",0.025,0
"2020-04-25","28 day ahead inc death",2020-05-23,"Belgium","quantile",0.025,0
"2020-04-25","1 day ahead inc death",2020-04-26,"Belgium","quantile",0.975,546.125
"2020-04-25","2 day ahead inc death",2020-04-27,"Belgium","quantile",0.975,497.1
"2020-04-25","3 day ahead inc death",2020-04-28,"Belgium","quantile",0.975,448.025
"2020-04-25","4 day ahead inc death",2020-04-29,"Belgium","quantile",0.975,396.1
"2020-04-25","5 day ahead inc death",2020-04-30,"Belgium","quantile",0.975,348.075
"2020-04-25","6 day ahead inc death",2020-05-01,"Belgium","quantile",0.975,302.025
"2020-04-25","7 day ahead inc death",2020-05-02,"Belgium","quantile",0.975,259.025
"2020-04-25","8 day ahead inc death",2020-05-03,"Belgium","quantile",0.975,219.025
"2020-04-25","9 day ahead inc death",2020-05-04,"Belgium","quantile",0.975,183.05
"2020-04-25","10 day ahead inc death",2020-05-05,"Belgium","quantile",0.975,151.05
"2020-04-25","11 day ahead inc death",2020-05-06,"Belgium","quantile",0.975,124.025
"2020-04-25","12 day ahead inc death",2020-05-07,"Belgium","quantile",0.975,100.025
"2020-04-25","13 day ahead inc death",2020-05-08,"Belgium","quantile",0.975,80
"2020-04-25","14 day ahead inc death",2020-05-09,"Belgium","quantile",0.975,63
"2020-04-25","15 day ahead inc death",2020-05-10,"Belgium","quantile",0.975,49
"2020-04-25","16 day ahead inc death",2020-05-11,"Belgium","quantile",0.975,37.025
"2020-04-25","17 day ahead inc death",2020-05-12,"Belgium","quantile",0.975,28
"2020-04-25","18 day ahead inc death",2020-05-13,"Belgium","quantile",0.975,21
"2020-04-25","19 day ahead inc death",2020-05-14,"Belgium","quantile",0.975,15
"2020-04-25","20 day ahead inc death",2020-05-15,"Belgium","quantile",0.975,11
"2020-04-25","21 day ahead inc death",2020-05-16,"Belgium","quantile",0.975,8
"2020-04-25","22 day ahead inc death",2020-05-17,"Belgium","quantile",0.975,5
"2020-04-25","23 day ahead inc death",2020-05-18,"Belgium","quantile",0.975,4
"2020-04-25","24 day ahead inc death",2020-05-19,"Belgium","quantile",0.975,2
"2020-04-25","25 day ahead inc death",2020-05-20,"Belgium","quantile",0.975,2
"2020-04-25","26 day ahead inc death",2020-05-21,"Belgium","quantile",0.975,1
"2020-04-25","27 day ahead inc death",2020-05-22,"Belgium","quantile",0.975,1
"2020-04-25","28 day ahead inc death",2020-05-23,"Belgium","quantile",0.975,0
"2020-04-25","1 wk ahead inc death",2020-04-26,"Belgium","point",NA,898.565
"2020-04-25","2 wk ahead inc death",2020-05-03,"Belgium","point",NA,261.096
"2020-04-25","3 wk ahead inc death",2020-05-10,"Belgium","point",NA,41.672
"2020-04-25","4 wk ahead inc death",2020-05-17,"Belgium","point",NA,2.952
"2020-04-25","1 wk ahead inc death",2020-04-26,"Belgium","quantile",0.025,166.875
"2020-04-25","2 wk ahead inc death",2020-05-03,"Belgium","quantile",0.025,38
"2020-04-25","3 wk ahead inc death",2020-05-10,"Belgium","quantile",0.025,3
"2020-04-25","4 wk ahead inc death",2020-05-17,"Belgium","quantile",0.025,0
"2020-04-25","1 wk ahead inc death",2020-04-26,"Belgium","quantile",0.975,2796.475
"2020-04-25","2 wk ahead inc death",2020-05-03,"Belgium","quantile",0.975,920.175
"2020-04-25","3 wk ahead inc death",2020-05-10,"Belgium","quantile",0.975,169.025
"2020-04-25","4 wk ahead inc death",2020-05-17,"Belgium","quantile",0.975,15
