"forecast_date","target","target_end_date","location","type","quantile","value"
2020-04-25,"1 day ahead inc death",2020-04-26,"Belgium","point",NA,209.142857142857
2020-04-25,"2 day ahead inc death",2020-04-27,"Belgium","point",NA,209.142857142857
2020-04-25,"3 day ahead inc death",2020-04-28,"Belgium","point",NA,209.142857142857
2020-04-25,"4 day ahead inc death",2020-04-29,"Belgium","point",NA,209.142857142857
2020-04-25,"5 day ahead inc death",2020-04-30,"Belgium","point",NA,209.142857142857
2020-04-25,"6 day ahead inc death",2020-05-01,"Belgium","point",NA,209.142857142857
2020-04-25,"7 day ahead inc death",2020-05-02,"Belgium","point",NA,209.142857142857
2020-04-25,"8 day ahead inc death",2020-05-03,"Belgium","point",NA,209.142857142857
2020-04-25,"9 day ahead inc death",2020-05-04,"Belgium","point",NA,209.142857142857
2020-04-25,"10 day ahead inc death",2020-05-05,"Belgium","point",NA,209.142857142857
2020-04-25,"11 day ahead inc death",2020-05-06,"Belgium","point",NA,209.142857142857
2020-04-25,"12 day ahead inc death",2020-05-07,"Belgium","point",NA,209.142857142857
2020-04-25,"13 day ahead inc death",2020-05-08,"Belgium","point",NA,209.142857142857
2020-04-25,"14 day ahead inc death",2020-05-09,"Belgium","point",NA,209.142857142857
2020-04-25,"15 day ahead inc death",2020-05-10,"Belgium","point",NA,209.142857142857
2020-04-25,"16 day ahead inc death",2020-05-11,"Belgium","point",NA,209.142857142857
2020-04-25,"17 day ahead inc death",2020-05-12,"Belgium","point",NA,209.142857142857
2020-04-25,"18 day ahead inc death",2020-05-13,"Belgium","point",NA,209.142857142857
2020-04-25,"19 day ahead inc death",2020-05-14,"Belgium","point",NA,209.142857142857
2020-04-25,"20 day ahead inc death",2020-05-15,"Belgium","point",NA,209.142857142857
2020-04-25,"21 day ahead inc death",2020-05-16,"Belgium","point",NA,209.142857142857
2020-04-25,"22 day ahead inc death",2020-05-17,"Belgium","point",NA,209.142857142857
2020-04-25,"23 day ahead inc death",2020-05-18,"Belgium","point",NA,209.142857142857
2020-04-25,"24 day ahead inc death",2020-05-19,"Belgium","point",NA,209.142857142857
2020-04-25,"25 day ahead inc death",2020-05-20,"Belgium","point",NA,209.142857142857
2020-04-25,"26 day ahead inc death",2020-05-21,"Belgium","point",NA,209.142857142857
2020-04-25,"27 day ahead inc death",2020-05-22,"Belgium","point",NA,209.142857142857
2020-04-25,"28 day ahead inc death",2020-05-23,"Belgium","point",NA,209.142857142857
2020-04-25,"1 day ahead inc death",2020-04-26,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"2 day ahead inc death",2020-04-27,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"3 day ahead inc death",2020-04-28,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"4 day ahead inc death",2020-04-29,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"5 day ahead inc death",2020-04-30,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"6 day ahead inc death",2020-05-01,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"7 day ahead inc death",2020-05-02,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"8 day ahead inc death",2020-05-03,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"9 day ahead inc death",2020-05-04,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"10 day ahead inc death",2020-05-05,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"11 day ahead inc death",2020-05-06,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"12 day ahead inc death",2020-05-07,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"13 day ahead inc death",2020-05-08,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"14 day ahead inc death",2020-05-09,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"15 day ahead inc death",2020-05-10,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"16 day ahead inc death",2020-05-11,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"17 day ahead inc death",2020-05-12,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"18 day ahead inc death",2020-05-13,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"19 day ahead inc death",2020-05-14,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"20 day ahead inc death",2020-05-15,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"21 day ahead inc death",2020-05-16,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"22 day ahead inc death",2020-05-17,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"23 day ahead inc death",2020-05-18,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"24 day ahead inc death",2020-05-19,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"25 day ahead inc death",2020-05-20,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"26 day ahead inc death",2020-05-21,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"27 day ahead inc death",2020-05-22,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"28 day ahead inc death",2020-05-23,"Belgium","quantile",0.025,209.142857142857
2020-04-25,"1 day ahead inc death",2020-04-26,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"2 day ahead inc death",2020-04-27,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"3 day ahead inc death",2020-04-28,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"4 day ahead inc death",2020-04-29,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"5 day ahead inc death",2020-04-30,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"6 day ahead inc death",2020-05-01,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"7 day ahead inc death",2020-05-02,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"8 day ahead inc death",2020-05-03,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"9 day ahead inc death",2020-05-04,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"10 day ahead inc death",2020-05-05,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"11 day ahead inc death",2020-05-06,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"12 day ahead inc death",2020-05-07,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"13 day ahead inc death",2020-05-08,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"14 day ahead inc death",2020-05-09,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"15 day ahead inc death",2020-05-10,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"16 day ahead inc death",2020-05-11,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"17 day ahead inc death",2020-05-12,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"18 day ahead inc death",2020-05-13,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"19 day ahead inc death",2020-05-14,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"20 day ahead inc death",2020-05-15,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"21 day ahead inc death",2020-05-16,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"22 day ahead inc death",2020-05-17,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"23 day ahead inc death",2020-05-18,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"24 day ahead inc death",2020-05-19,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"25 day ahead inc death",2020-05-20,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"26 day ahead inc death",2020-05-21,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"27 day ahead inc death",2020-05-22,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"28 day ahead inc death",2020-05-23,"Belgium","quantile",0.975,209.142857142857
2020-04-25,"1 wk ahead inc death",2020-04-26,"Belgium","point",NA,1464
2020-04-25,"2 wk ahead inc death",2020-05-03,"Belgium","point",NA,1464
2020-04-25,"3 wk ahead inc death",2020-05-10,"Belgium","point",NA,1464
2020-04-25,"4 wk ahead inc death",2020-05-17,"Belgium","point",NA,1464
2020-04-25,"1 wk ahead inc death",2020-04-26,"Belgium","quantile",0.025,1464
2020-04-25,"2 wk ahead inc death",2020-05-03,"Belgium","quantile",0.025,1464
2020-04-25,"3 wk ahead inc death",2020-05-10,"Belgium","quantile",0.025,1464
2020-04-25,"4 wk ahead inc death",2020-05-17,"Belgium","quantile",0.025,1464
2020-04-25,"1 wk ahead inc death",2020-04-26,"Belgium","quantile",0.975,1464
2020-04-25,"2 wk ahead inc death",2020-05-03,"Belgium","quantile",0.975,1464
2020-04-25,"3 wk ahead inc death",2020-05-10,"Belgium","quantile",0.975,1464
2020-04-25,"4 wk ahead inc death",2020-05-17,"Belgium","quantile",0.975,1464
