"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-05-09","1 day ahead inc death",2020-05-10,"Belgium","point",NA,92
"2020-05-09","2 day ahead inc death",2020-05-11,"Belgium","point",NA,87
"2020-05-09","3 day ahead inc death",2020-05-12,"Belgium","point",NA,83
"2020-05-09","4 day ahead inc death",2020-05-13,"Belgium","point",NA,80
"2020-05-09","5 day ahead inc death",2020-05-14,"Belgium","point",NA,76
"2020-05-09","6 day ahead inc death",2020-05-15,"Belgium","point",NA,73
"2020-05-09","7 day ahead inc death",2020-05-16,"Belgium","point",NA,69
"2020-05-09","8 day ahead inc death",2020-05-17,"Belgium","point",NA,66
"2020-05-09","9 day ahead inc death",2020-05-18,"Belgium","point",NA,63
"2020-05-09","10 day ahead inc death",2020-05-19,"Belgium","point",NA,60
"2020-05-09","11 day ahead inc death",2020-05-20,"Belgium","point",NA,58
"2020-05-09","12 day ahead inc death",2020-05-21,"Belgium","point",NA,55
"2020-05-09","13 day ahead inc death",2020-05-22,"Belgium","point",NA,53
"2020-05-09","14 day ahead inc death",2020-05-23,"Belgium","point",NA,51
"2020-05-09","15 day ahead inc death",2020-05-24,"Belgium","point",NA,48
"2020-05-09","16 day ahead inc death",2020-05-25,"Belgium","point",NA,46
"2020-05-09","17 day ahead inc death",2020-05-26,"Belgium","point",NA,44
"2020-05-09","18 day ahead inc death",2020-05-27,"Belgium","point",NA,43
"2020-05-09","19 day ahead inc death",2020-05-28,"Belgium","point",NA,41
"2020-05-09","20 day ahead inc death",2020-05-29,"Belgium","point",NA,39
"2020-05-09","21 day ahead inc death",2020-05-30,"Belgium","point",NA,38
"2020-05-09","22 day ahead inc death",2020-05-31,"Belgium","point",NA,36
"2020-05-09","23 day ahead inc death",2020-06-01,"Belgium","point",NA,35
"2020-05-09","24 day ahead inc death",2020-06-02,"Belgium","point",NA,34
"2020-05-09","25 day ahead inc death",2020-06-03,"Belgium","point",NA,33
"2020-05-09","26 day ahead inc death",2020-06-04,"Belgium","point",NA,32
"2020-05-09","27 day ahead inc death",2020-06-05,"Belgium","point",NA,31
"2020-05-09","28 day ahead inc death",2020-06-06,"Belgium","point",NA,30
"2020-05-09","1 day ahead inc death",2020-05-10,"Belgium","quantile",0.025,49
"2020-05-09","2 day ahead inc death",2020-05-11,"Belgium","quantile",0.025,46
"2020-05-09","3 day ahead inc death",2020-05-12,"Belgium","quantile",0.025,43
"2020-05-09","4 day ahead inc death",2020-05-13,"Belgium","quantile",0.025,40
"2020-05-09","5 day ahead inc death",2020-05-14,"Belgium","quantile",0.025,37
"2020-05-09","6 day ahead inc death",2020-05-15,"Belgium","quantile",0.025,35
"2020-05-09","7 day ahead inc death",2020-05-16,"Belgium","quantile",0.025,32
"2020-05-09","8 day ahead inc death",2020-05-17,"Belgium","quantile",0.025,30
"2020-05-09","9 day ahead inc death",2020-05-18,"Belgium","quantile",0.025,28
"2020-05-09","10 day ahead inc death",2020-05-19,"Belgium","quantile",0.025,27
"2020-05-09","11 day ahead inc death",2020-05-20,"Belgium","quantile",0.025,25
"2020-05-09","12 day ahead inc death",2020-05-21,"Belgium","quantile",0.025,23
"2020-05-09","13 day ahead inc death",2020-05-22,"Belgium","quantile",0.025,21
"2020-05-09","14 day ahead inc death",2020-05-23,"Belgium","quantile",0.025,20
"2020-05-09","15 day ahead inc death",2020-05-24,"Belgium","quantile",0.025,18
"2020-05-09","16 day ahead inc death",2020-05-25,"Belgium","quantile",0.025,17
"2020-05-09","17 day ahead inc death",2020-05-26,"Belgium","quantile",0.025,15
"2020-05-09","18 day ahead inc death",2020-05-27,"Belgium","quantile",0.025,14
"2020-05-09","19 day ahead inc death",2020-05-28,"Belgium","quantile",0.025,13
