"date","location","value"
"2020-03-10","Belgium",1
"2020-03-10","Brussels",1
"2020-03-11","Belgium",3
"2020-03-11","Brussels",2
"2020-03-11","Flanders",1
"2020-03-12","Belgium",1
"2020-03-12","Brussels",1
"2020-03-13","Belgium",3
"2020-03-13","Brussels",3
"2020-03-14","Belgium",4
"2020-03-14","Brussels",3
"2020-03-14","Flanders",1
"2020-03-15","Belgium",6
"2020-03-15","Brussels",2
"2020-03-15","Flanders",3
"2020-03-15","Wallonia",1
"2020-03-16","Belgium",11
"2020-03-16","Brussels",4
"2020-03-16","Flanders",2
"2020-03-16","Wallonia",5
"2020-03-17","Belgium",11
"2020-03-17","Brussels",5
"2020-03-17","Flanders",4
"2020-03-17","Wallonia",2
"2020-03-18","Belgium",21
"2020-03-18","Brussels",9
"2020-03-18","Flanders",6
"2020-03-18","Wallonia",6
"2020-03-19","Belgium",27
"2020-03-19","Brussels",5
"2020-03-19","Flanders",9
"2020-03-19","Wallonia",13
"2020-03-20","Belgium",31
"2020-03-20","Brussels",9
"2020-03-20","Flanders",9
"2020-03-20","Wallonia",13
"2020-03-21","Belgium",38
"2020-03-21","Brussels",4
"2020-03-21","Flanders",17
"2020-03-21","Wallonia",17
"2020-03-22","Belgium",41
"2020-03-22","Brussels",8
"2020-03-22","Flanders",17
"2020-03-22","Wallonia",16
"2020-03-23","Belgium",78
"2020-03-23","Brussels",11
"2020-03-23","Flanders",31
"2020-03-23","Wallonia",36
"2020-03-24","Belgium",74
"2020-03-24","Brussels",8
"2020-03-24","Flanders",32
"2020-03-24","Wallonia",34
"2020-03-25","Belgium",98
"2020-03-25","Brussels",16
"2020-03-25","Flanders",42
"2020-03-25","Wallonia",40
"2020-03-26","Belgium",101
"2020-03-26","Brussels",19
"2020-03-26","Flanders",36
"2020-03-26","Wallonia",46
"2020-03-27","Belgium",123
"2020-03-27","Brussels",16
"2020-03-27","Flanders",70
"2020-03-27","Wallonia",37
"2020-03-28","Belgium",133
"2020-03-28","Brussels",28
"2020-03-28","Flanders",62
"2020-03-28","Wallonia",43
"2020-03-29","Belgium",138
"2020-03-29","Brussels",22
"2020-03-29","Flanders",57
"2020-03-29","Wallonia",59
"2020-03-30","Belgium",169
"2020-03-30","Brussels",29
"2020-03-30","Flanders",78
"2020-03-30","Wallonia",62
"2020-03-31","Belgium",185
"2020-03-31","Brussels",29
"2020-03-31","Flanders",86
"2020-03-31","Wallonia",70
"2020-04-01","Belgium",247
"2020-04-01","Brussels",31
"2020-04-01","Flanders",141
"2020-04-01","Wallonia",75
"2020-04-02","Belgium",210
"2020-04-02","Brussels",40
"2020-04-02","Flanders",100
"2020-04-02","Wallonia",70
"2020-04-03","Belgium",232
"2020-04-03","Brussels",31
"2020-04-03","Flanders",112
"2020-04-03","Wallonia",89
"2020-04-04","Belgium",274
"2020-04-04","Brussels",56
